6,000000 1,000000 6,116000 12,455000 54,469000 2,063000 22,000000 16,219000 139,000000
10,000000 2,000000 0,521000 4,692000 22,449000 1,226000 25,000000 1,454000 61,000000
7,000000 2,000000 0,544000 3,395000 16,511000 0,932000 24,000000 1,562000 49,000000
6,000000 2,000000 0,657000 3,993000 15,238000 0,898000 18,000000 1,083000 44,000000
6,000000 1,000000 0,500000 2,875000 18,952000 0,784000 15,000000 1,574000 38,000000
10,000000 2,000000 0,664000 4,061000 21,217000 1,279000 26,000000 1,479000 61,000000
7,000000 2,000000 0,728000 3,833000 20,493000 1,209000 21,000000 1,901000 60,000000
9,000000 1,000000 0,653000 3,184000 20,236000 1,181000 30,000000 1,334000 60,000000
5,000000 2,000000 0,509000 3,402000 18,987000 1,305000 26,000000 1,681000 52,000000
6,000000 1,000000 0,511000 3,254000 20,202000 1,179000 26,000000 1,365000 61,000000
8,000000 3,000000 0,667000 3,188000 20,198000 1,185000 26,000000 1,784000 65,000000
14,000000 5,000000 1,983000 11,583000 79,751000 4,451000 95,000000 4,462000 204,000000
16,000000 7,000000 2,326000 11,468000 42,745000 1,905000 31,000000 2,532000 82,000000
6,000000 2,000000 0,605000 4,521000 20,019000 1,268000 23,000000 1,330000 60,000000
5,000000 1,000000 0,639000 4,436000 18,021000 1,199000 35,000000 1,777000 63,000000
8,000000 2,000000 0,730000 3,242000 19,685000 1,196000 23,000000 1,315000 60,000000
8,000000 1,000000 0,523000 3,074000 20,284000 1,197000 29,000000 1,854000 65,000000
9,000000 1,000000 0,524000 3,049000 20,373000 1,178000 21,000000 1,393000 63,000000
8,000000 1,000000 0,642000 3,064000 20,166000 1,205000 25,000000 1,751000 60,000000
7,000000 1,000000 0,532000 2,979000 20,520000 1,200000 30,000000 1,465000 63,000000
7,000000 1,000000 0,506000 3,091000 20,479000 1,225000 27,000000 1,839000 65,000000
8,000000 1,000000 0,513000 3,065000 20,279000 1,212000 21,000000 1,450000 60,000000
7,000000 1,000000 0,504000 2,878000 19,566000 1,223000 27,000000 1,666000 52,000000
8,000000 2,000000 0,565000 3,662000 16,863000 1,177000 22,000000 1,481000 60,000000
5,000000 2,000000 0,511000 2,961000 21,125000 1,198000 29,000000 1,785000 52,000000
7,000000 2,000000 0,546000 3,751000 20,219000 1,298000 23,000000 1,545000 60,000000
7,000000 1,000000 0,512000 3,528000 20,193000 1,200000 24,000000 1,834000 60,000000
6,000000 2,000000 0,811000 3,434000 20,407000 1,316000 26,000000 1,385000 65,000000
6,000000 1,000000 0,532000 3,056000 20,339000 1,187000 24,000000 1,767000 55,000000
7,000000 1,000000 0,544000 2,925000 19,164000 1,233000 22,000000 1,307000 60,000000
6,000000 1,000000 0,562000 3,214000 19,944000 1,293000 29,000000 1,831000 59,000000
6,000000 1,000000 0,512000 3,366000 20,463000 1,295000 23,000000 1,341000 59,000000
7,000000 1,000000 0,524000 3,615000 20,392000 1,673000 49,000000 1,808000 63,000000
8,000000 2,000000 1,005000 3,751000 20,848000 1,187000 26,000000 1,399000 60,000000
8,000000 2,000000 0,526000 3,357000 20,483000 1,313000 26,000000 1,830000 60,000000
8,000000 1,000000 0,608000 3,261000 20,537000 1,194000 29,000000 1,351000 61,000000
6,000000 2,000000 0,609000 3,166000 20,899000 1,208000 22,000000 1,901000 60,000000
7,000000 1,000000 0,558000 3,008000 20,687000 1,377000 30,000000 1,319000 62,000000
7,000000 1,000000 0,571000 2,963000 20,125000 1,187000 28,000000 1,833000 59,000000
6,000000 2,000000 0,778000 3,355000 20,384000 1,200000 30,000000 1,475000 63,000000
8,000000 1,000000 0,532000 3,393000 20,246000 0,923000 20,000000 1,965000 62,000000
7,000000 1,000000 0,534000 3,317000 20,690000 1,216000 16,000000 1,358000 63,000000
7,000000 2,000000 0,740000 3,212000 20,815000 1,218000 25,000000 1,877000 126,000000
15,000000 5,000000 2,506000 12,104000 80,784000 4,671000 91,000000 4,628000 213,000000
9,000000 3,000000 0,785000 4,513000 23,793000 1,404000 31,000000 2,079000 64,000000
5,000000 2,000000 0,596000 3,255000 11,743000 0,684000 35,000000 0,885000 38,000000
12,000000 1,000000 0,503000 2,892000 20,172000 1,194000 20,000000 1,848000 47,000000
6,000000 2,000000 0,502000 2,959000 25,269000 0,984000 21,000000 1,233000 47,000000
8,000000 1,000000 0,626000 3,125000 20,078000 1,227000 26,000000 1,850000 60,000000
7,000000 2,000000 0,549000 2,974000 20,202000 1,209000 29,000000 1,457000 60,000000
7,000000 1,000000 0,499000 3,075000 20,498000 1,169000 23,000000 2,061000 61,000000
7,000000 2,000000 0,514000 3,054000 20,288000 1,219000 27,000000 1,446000 60,000000
7,000000 2,000000 0,545000 2,894000 20,020000 1,204000 24,000000 2,020000 61,000000
6,000000 1,000000 0,529000 3,213000 20,576000 1,172000 34,000000 1,349000 63,000000
8,000000 1,000000 0,597000 3,299000 20,051000 1,203000 25,000000 1,929000 59,000000
7,000000 2,000000 0,761000 4,610000 13,216000 0,718000 9,000000 0,826000 34,000000
7,000000 2,000000 0,575000 3,598000 20,434000 1,201000 21,000000 1,995000 60,000000
7,000000 1,000000 0,508000 3,551000 20,505000 1,305000 26,000000 1,341000 59,000000
11,000000 1,000000 0,527000 3,291000 20,087000 1,202000 21,000000 1,953000 60,000000
8,000000 2,000000 0,553000 2,944000 20,207000 0,912000 16,000000 1,282000 44,000000
7,000000 1,000000 0,500000 3,462000 20,492000 1,185000 23,000000 1,927000 62,000000
8,000000 1,000000 0,501000 3,693000 20,322000 1,065000 19,000000 1,698000 61,000000
8,000000 1,000000 0,504000 3,050000 19,834000 1,198000 22,000000 1,775000 50,000000
7,000000 1,000000 0,551000 3,333000 20,237000 1,487000 21,000000 1,358000 63,000000
8,000000 2,000000 0,635000 3,200000 19,614000 0,898000 22,000000 1,398000 43,000000
6,000000 2,000000 0,607000 3,178000 20,380000 1,260000 24,000000 1,393000 60,000000
8,000000 1,000000 0,504000 2,982000 20,093000 1,200000 25,000000 1,785000 54,000000
6,000000 1,000000 0,535000 3,018000 20,559000 1,349000 29,000000 1,361000 65,000000
8,000000 1,000000 0,498000 3,198000 20,497000 1,201000 22,000000 1,764000 63,000000
